Name,Model Name,Brand,Location,Year,Kilometers_Driven,Fuel_Type,Transmission,Owner_Type,Mileage,Engine,Power,Seats,New_Price,Price
Honda Jazz V, Jazz V,Honda,Chennai,2011,46000,Petrol,Manual,First,18.2,1199,88.7,5,8.61,4.5
Toyota Innova Crysta 2.8 GX AT 8S, Innova Crysta 2.8 GX AT 8S,Toyota,Mumbai,2016,36000,Diesel,Automatic,First,11.36,2755,171.5,8,21,17.5
Maruti Ciaz Zeta, Ciaz Zeta,Maruti,Kochi,2018,25692,Petrol,Manual,First,21.56,1462,103.25,5,10.65,9.95
Mitsubishi Pajero Sport 4X4, Pajero Sport 4X4,Mitsubishi,Delhi,2014,110000,Diesel,Manual,First,13.5,2477,175.56,7,32.01,15
BMW 3 Series 320d, 3 Series 320d,BMW,Kochi,2014,32982,Diesel,Automatic,First,22.69,1995,190,5,47.87,18.55
Honda WRV i-VTEC VX, WRV i VTEC VX,Honda,Kochi,2018,37430,Petrol,Manual,First,17.5,1199,88.7,5,10.57,9.9
Volkswagen Vento 1.6 High , Vento 1.6 High ,Volkswagen,Coimbatore,2014,55431,Petrol,Manual,Second,16.09,1598,103.5,5,12.33,6.98
Maruti Vitara Brezza ZDi Plus, Vitara Brezza ZDi Plus,Maruti,Kochi,2018,50075,Diesel,Manual,First,24.3,1248,88.5,5,11.12,8.63
Hyundai Elantra 2.0 SX   AT, Elantra 2.0 SX AT,Hyundai,Bangalore,2014,46374,Petrol,Automatic,First,14.62,1999,149.92,5,23.64,8.85
Toyota Innova Crysta 2.7 GX MT, Innova Crysta 2.7 GX MT,Toyota,Bangalore,2012,70704,Petrol,Manual,First,11.25,2694,163.7,7,18.64,10.95
Toyota Innova Crysta 2.4 GX MT 8S, Innova Crysta 2.4 GX MT 8S,Toyota,Mumbai,2017,22000,Diesel,Manual,First,13.68,2393,147.8,8,19.34,16.5
Mercedes-Benz C-Class Progressive C 220d, Benz C Class Progressive C 220d,Mercedes,Coimbatore,2019,15369,Diesel,Automatic,First,0,1950,194,5,49.14,35.67
Hyundai Creta 1.4 E Plus   , Creta 1.4 E Plus ,Hyundai,Mumbai,2018,13000,Diesel,Manual,First,22.1,1396,88.7,5,11.81,10.5
Nissan Terrano XV D Pre, Terrano XV D Pre,Nissan,Kochi,2015,56066,Diesel,Manual,First,19.64,1461,108.5,5,16.65,6.92
Tata Zest Revotron 1.2T XE, Zest Revotron 1.2T XE,Tata,Pune,2017,70000,Petrol,Manual,First,17.57,1193,88.7,5,6.67,4.5
Datsun GO Plus T  , GO Plus T ,Datsun,Pune,2017,32851,Petrol,Manual,First,19.83,1198,67,7,6.45,3.95
Toyota Etios Liva 1.2 G, Etios Liva 1.2 G,Toyota,Ahmedabad,2014,53000,Petrol,Manual,First,17.71,1197,78.9,5,6.41,3.9
Toyota Innova Crysta 2.8 ZX AT, Innova Crysta 2.8 ZX AT,Toyota,Mumbai,2017,30000,Diesel,Automatic,First,11.36,2755,171.5,7,27,19.25
Maruti Eeco 5    , Eeco 5 ,Maruti,Coimbatore,2017,38053,Petrol,Manual,First,15.1,1196,73,5,5.13,3.91
BMW 3 Series 320d  , 3 Series 320d ,BMW,Mumbai,2015,56087,Diesel,Automatic,First,22.69,1995,190,5,54.43,20.75
Nissan Micra XV CVT, Micra XV CVT,Nissan,Coimbatore,2016,39882,Petrol,Automatic,First,19.15,1198,75.94,5,9.51,6.55
Maruti Vitara Brezza VDi, Vitara Brezza VDi,Maruti,Mumbai,2016,55000,Diesel,Manual,First,24.3,1248,88.5,5,9.96,7.5
Hyundai Verna CRDi 1.6 SX  , Verna CRDi 1.6 SX ,Hyundai,Kolkata,2018,10250,Diesel,Manual,First,22,1582,126.2,5,14.44,10.95
Maruti Alto K10 VXI, Alto K10 VXI,Maruti,Hyderabad,2014,88500,Petrol,Manual,First,24.07,998,67.1,5,4.53,2.6
Mercedes-Benz SLC 43 AMG, Benz SLC 43 AMG,Mercedes,Kolkata,2017,13372,Petrol,Automatic,First,19,2996,362.07,2,95.04,54
Hyundai Verna VTVT 1.6 AT SX Plus, Verna VTVT 1.6 AT SX Plus,Hyundai,Kochi,2019,12645,Petrol,Automatic,First,17,1591,121.3,5,13.49,11.5
Audi RS5 Coupe, RS5 Coupe,Audi,Mumbai,2013,23000,Petrol,Automatic,First,11.05,2894,444,4,128,37
BMW 3 Series  , 3 Series ,BMW,Mumbai,2014,48000,Diesel,Automatic,First,21.76,1995,190,5,60.88,26.5
Hyundai Grand i10 1.2 Kappa Asta, Grand i10 1.2 Kappa Asta,Hyundai,Kolkata,2019,1000,Petrol,Manual,First,18.9,1197,81.86,5,7.39,6.5
BMW 5 Series 520d  , 5 Series 520d ,BMW,Hyderabad,2014,51000,Diesel,Automatic,First,22.48,1995,190,5,69.47,33.5
Maruti Baleno Alpha, Baleno Alpha,Maruti,Kochi,2017,24773,Petrol,Manual,First,21.4,1197,83.1,5,8.78,7.5
Maruti Ertiga ZDI, Ertiga ZDI,Maruti,Mumbai,2016,33000,Diesel,Manual,First,25.47,1248,88.5,7,12.74,8.5
Mahindra NuvoSport N6, NuvoSport N6,Mahindra,Chennai,2017,29000,Diesel,Manual,Second,17.45,1493,100,7,10.52,6.5
Maruti Vitara Brezza ZDi Plus Dual Tone, Vitara Brezza ZDi Plus Dual Tone,Maruti,Mumbai,2016,20000,Diesel,Manual,First,24.3,1248,88.5,5,11.98,9
Honda Amaze S   , Amaze S ,Honda,Kolkata,2013,45000,Diesel,Manual,First,27.4,1498,98.6,5,8.54,3.25
Skoda Superb Style 1.8 TSI AT, Superb Style 1.8 TSI AT,Skoda,Hyderabad,2017,26000,Petrol,Automatic,First,14.67,1798,177.46,5,33.58,26
Mahindra Verito 1.5 D4 BSIV, Verito 1.5 D4 BSIV,Mahindra,Hyderabad,2013,107000,Diesel,Manual,First,21.03,1461,65,5,9.12,3.7
Maruti Wagon R VXI, Wagon R VXI,Maruti,Kolkata,2013,32000,Petrol,Manual,First,22.5,998,67.04,5,5.29,2.65
Mini Cooper Convertible S, Convertible S,Mini,Kochi,2017,26327,Petrol,Automatic,First,16.82,1998,189.08,4,44.28,35.67
Toyota Innova Crysta 2.8 GX AT, Innova Crysta 2.8 GX AT,Toyota,Kochi,2019,14165,Diesel,Automatic,First,11.36,2755,171.5,7,20.74,19.64
Honda City i-VTEC V, City i VTEC V,Honda,Kolkata,2011,32572,Petrol,Manual,First,17.4,1497,117.3,5,11.74,3.87
Toyota Innova Crysta 2.4 ZX MT, Innova Crysta 2.4 ZX MT,Toyota,Pune,2017,43000,Diesel,Manual,First,13.68,2393,147.8,7,25.52,18.65
Hyundai Verna CRDi 1.6 SX, Verna CRDi 1.6 SX,Hyundai,Hyderabad,2008,143275,Diesel,Manual,First,22,1582,126.2,5,14.07,2.6
Mercedes-Benz GLE 350d, Benz GLE 350d,Mercedes,Coimbatore,2017,29819,Diesel,Automatic,First,11.57,2987,254.79,5,95.13,61.29
Tata Zest Quadrajet 1.3 75PS XE, Zest Quadrajet 1.3 75PS XE,Tata,Pune,2017,121900,Diesel,Manual,First,22.95,1248,74,5,8.34,3.75
Tata Zest Quadrajet 1.3 75PS XE, Zest Quadrajet 1.3 75PS XE,Tata,Pune,2018,45000,Diesel,Manual,First,22.95,1248,74,5,8.34,5.25
Honda Jazz VX, Jazz VX,Honda,Delhi,2015,62178,Petrol,Manual,First,18.2,1199,88.7,5,8.85,4.85
Toyota Innova Crysta 2.4 ZX MT, Innova Crysta 2.4 ZX MT,Toyota,Chennai,2016,48000,Diesel,Manual,First,13.68,2393,147.8,7,25.4,20.25
Honda City i-VTEC CVT ZX, City i VTEC CVT ZX,Honda,Mumbai,2017,15000,Petrol,Automatic,First,18,1497,117.3,5,16.67,12.69
Mercedes-Benz GLE 250d, Benz GLE 250d,Mercedes,Hyderabad,2017,29000,Diesel,Automatic,First,17.9,2143,201.15,5,79.43,57
Honda Brio 1.2 VX MT, Brio 1.2 VX MT,Honda,Kochi,2012,91931,Petrol,Manual,First,18.5,1198,86.8,5,6.62,3.13
Audi Q7 45 TDI  , Q7 45 TDI ,Audi,Coimbatore,2017,97430,Diesel,Automatic,First,14.75,2967,245,7,104,62.67
Maruti Vitara Brezza LDi, Vitara Brezza LDi,Maruti,Chennai,2016,45000,Diesel,Manual,First,24.3,1248,88.5,5,9.12,7.15
BMW 3 Series  , 3 Series ,BMW,Kochi,2015,30717,Diesel,Automatic,Second,21.76,1995,190,5,58.67,25.99
Skoda Octavia RS, Octavia RS,Skoda,Jaipur,2005,100000,Petrol,Automatic,First,14.45,1984,227,5,28.37,2.05
Maruti Alto K10 VXI, Alto K10 VXI,Maruti,Pune,2017,30000,Petrol,Manual,First,24.07,998,67.1,5,4.48,3.75
Jaguar XF 2.0     , XF 2.0  ,Jaguar,Hyderabad,2017,21000,Diesel,Automatic,First,19.33,1999,177,5,72.64,52
Skoda Superb L&K 1.8 TSI AT, Superb L&K 1.8 TSI AT,Skoda,Kochi,2019,13747,Petrol,Automatic,First,14.67,1798,177.46,5,36.15,27.3
Mini Clubman Cooper S,Mini Clubman Cooper S,Mini,Pune,2017,8350,Petrol,Manual,First,13.8,1998,192,5,44.59,35
Maruti Vitara Brezza ZDi Plus, Vitara Brezza ZDi Plus,Maruti,Hyderabad,2017,39000,Diesel,Manual,First,24.3,1248,88.5,5,12,9.49
Honda BRV i-VTEC V CVT, BRV i VTEC V CVT,Honda,Kochi,2017,35676,Petrol,Automatic,First,16,1497,117.3,7,14.65,9.48
Jaguar XE  , XE ,Jaguar,Mumbai,2017,9000,Petrol,Automatic,First,13.5,1999,246.74,5,53.72,34.5
Mitsubishi Pajero Sport 4X2 AT DualTone BlackTop, Pajero Sport 4X2 AT DualTone BlackTop,Mitsubishi,Hyderabad,2018,12000,Diesel,Automatic,First,13.5,2477,175.56,7,33.91,28
BMW 3 Series  , 3 Series ,BMW,Mumbai,2015,41000,Diesel,Automatic,First,21.76,1995,190,5,60.88,25.5
Honda BR-V i-VTEC S MT, BR V i VTEC S MT,Honda,Pune,2017,9000,Petrol,Manual,First,15.4,1497,117.3,7,12.51,8.5
Hyundai i20 Active SX  , i20 Active SX ,Hyundai,Jaipur,2017,40250,Petrol,Manual,First,17.19,1197,81.86,5,9.74,6.9
Mercedes-Benz GLC 43 AMG Coupe, Benz GLC 43 AMG Coupe,Mercedes,Coimbatore,2018,22397,Petrol,Automatic,First,11.5,2996,367,5,95.38,70.99
Audi A6 35 TFSI Matrix, A6 35 TFSI Matrix,Audi,Mumbai,2016,47000,Petrol,Automatic,First,15.26,1798,187.74,5,60.59,24.5
Mini Cooper Convertible S, Convertible S,Mini,Mumbai,2014,11900,Petrol,Automatic,First,16.82,1998,189.08,4,44.28,28.5
Mahindra Bolero ZLX, Bolero ZLX,Mahindra,Coimbatore,2016,82756,Diesel,Manual,First,15.96,2523,62.1,7,11.28,7.7
Volkswagen Vento 1.6   , Vento 1.6 ,Volkswagen,Mumbai,2017,15000,Petrol,Manual,Second,16.09,1598,103.5,5,11.48,7.1
Maruti S-Cross Delta DDiS 200 SH, S Cross Delta DDiS 200 SH,Maruti,Delhi,2018,12923,Diesel,Manual,First,25.1,1248,88.5,5,11.26,8.92
Audi Q3 35 TDI Quattro Premium Plus, Q3 35 TDI Quattro Premium Plus,Audi,Coimbatore,2016,86642,Diesel,Automatic,First,15.17,1968,181,5,43.65,20.37
BMW 3 Series  , 3 Series ,BMW,Bangalore,2016,19235,Diesel,Automatic,First,21.76,1995,190,5,62.07,36.5
Mercedes-Benz E-Class E 220 d, Benz E Class E 220 d,Mercedes,Kochi,2018,26405,Petrol,Automatic,First,12.6,1950,191.34,5,86.97,51.43
Mercedes-Benz GLS 350d 4MATIC, Benz GLS 350d 4MATIC,Mercedes,Pune,2017,129000,Diesel,Automatic,First,11,2987,258,7,100,56
Maruti Wagon R LXI, Wagon R LXI,Maruti,Ahmedabad,2012,30000,Petrol,Manual,First,22.5,998,67.04,5,4.74,3.3
Hyundai Creta 1.6 SX, Creta 1.6 SX,Hyundai,Chennai,2016,69434,Petrol,Manual,First,15.8,1591,121.3,5,14.84,8
Mercedes-Benz New C-Class Progressive C 200, Benz New C Class Progressive C 200,Mercedes,Kochi,2019,13190,Petrol,Automatic,First,0,1950,181.43,5,49.49,38.99
BMW X1 sDrive 20d x , X1 sDrive 20d x ,BMW,Coimbatore,2017,31645,Diesel,Automatic,First,20.68,1995,190,5,48.18,29.4
Maruti Ertiga ZDI, Ertiga ZDI,Maruti,Pune,2013,105000,Diesel,Manual,Second,25.47,1248,88.5,7,12.34,6.75
Skoda Rapid 1.5 TDI Style, Rapid 1.5 TDI Style,Skoda,Hyderabad,2017,31000,Diesel,Manual,First,21.13,1498,108.4,5,15.38,10.5
Toyota Innova Crysta 2.8 GX AT, Innova Crysta 2.8 GX AT,Toyota,Ahmedabad,2016,100200,Diesel,Automatic,First,11.36,2755,171.5,7,19.21,17
Jeep Compass 2.0 Limited, Compass 2.0 Limited,Jeep,Jaipur,2018,29000,Diesel,Manual,First,17.1,1956,170,5,22.95,19
Mahindra Bolero ZLX, Bolero ZLX,Mahindra,Jaipur,2012,105000,Diesel,Manual,Second,15.96,2523,62.1,7,11.15,6
Volkswagen Polo 1.5 TDI High , Polo 1.5 TDI High ,Volkswagen,Coimbatore,2018,33558,Diesel,Manual,First,20.14,1498,88,5,10.32,8.12
Toyota Innova Crysta 2.8 ZX AT, Innova Crysta 2.8 ZX AT,Toyota,Coimbatore,2019,40674,Diesel,Automatic,First,11.36,2755,171.5,7,28.05,24.82
Mercedes-Benz GLC 220d 4MATIC Style, Benz GLC 220d 4MATIC Style,Mercedes,Mumbai,2018,10003,Diesel,Automatic,First,17.9,2143,170,5,59.77,48.5
Volkswagen Vento 1.5 TDI High  AT, Vento 1.5 TDI High AT,Volkswagen,Mumbai,2016,25000,Diesel,Automatic,First,21.5,1498,108.5,5,15.86,9.45
Toyota Innova Crysta 2.4 GX MT 8S, Innova Crysta 2.4 GX MT 8S,Toyota,Hyderabad,2017,52000,Diesel,Manual,First,13.68,2393,147.8,8,19.43,17.5
Maruti Vitara Brezza ZDi, Vitara Brezza ZDi,Maruti,Pune,2016,21558,Diesel,Manual,First,24.3,1248,88.5,5,10.65,8.9
Mini Cooper 5 DOOR D, 5 DOOR D,Mini,Mumbai,2016,11000,Diesel,Automatic,First,20.7,1496,113.98,5,42.12,29.5
Tata Safari Storme VX Varicor 400, Safari Storme VX Varicor 400,Tata,Jaipur,2017,37000,Diesel,Manual,First,14.1,2179,154,7,16.95,11.25
Honda BR-V i-DTEC VX MT, BR V i DTEC VX MT,Honda,Kochi,2017,32249,Diesel,Manual,First,21.9,1498,98.6,7,15.45,10.79
Maruti Ignis 1.2 Alpha, Ignis 1.2 Alpha,Maruti,Mumbai,2017,7000,Petrol,Manual,First,20.89,1197,81.8,5,7.87,5.7
Maruti Alto K10 VXI, Alto K10 VXI,Maruti,Bangalore,2011,64357,Petrol,Manual,First,24.07,998,67.1,5,4.7,2.75
Honda BRV i-VTEC V CVT, BRV i VTEC V CVT,Honda,Mumbai,2017,18000,Petrol,Automatic,First,16,1497,117.3,7,15.02,9.25
Maruti Vitara Brezza ZDi Plus Dual Tone, Vitara Brezza ZDi Plus Dual Tone,Maruti,Coimbatore,2017,18108,Diesel,Manual,First,24.3,1248,88.5,5,12.56,11.31
Nissan Sunny XV CVT, Sunny XV CVT,Nissan,Kochi,2013,37199,Petrol,Automatic,First,17.5,1498,99.6,5,11.33,5.43
Toyota Innova Crysta 2.4 ZX MT, Innova Crysta 2.4 ZX MT,Toyota,Bangalore,2017,64798,Diesel,Manual,First,13.68,2393,147.8,7,26.45,18.75
Maruti Dzire AMT ZXI Plus, Dzire AMT ZXI Plus,Maruti,Hyderabad,2017,13000,Petrol,Automatic,First,22,1197,81.8,5,10.34,8.5
Hyundai Grand i10 1.2 CRDi Magna, Grand i10 1.2 CRDi Magna,Hyundai,Kolkata,2017,14000,Diesel,Manual,First,24,1186,73.97,5,7.46,4.9
Honda City i-VTEC V, City i VTEC V,Honda,Delhi,2014,55818,Petrol,Manual,Second,17.4,1497,117.3,5,11.85,5.7
Maruti Ertiga VDI, Ertiga VDI,Maruti,Ahmedabad,2017,63939,Diesel,Manual,First,25.47,1248,88.5,7,10.41,7.75
Maruti Celerio VXI AMT, Celerio VXI AMT,Maruti,Delhi,2014,35214,Petrol,Automatic,Second,23.1,998,67.04,5,5.57,3.2
Mini Cooper 5 DOOR D, 5 DOOR D,Mini,Hyderabad,2014,60000,Diesel,Automatic,Second,20.7,1496,113.98,5,42.48,23.5
Honda City i-VTEC CVT VX, City i VTEC CVT VX,Honda,Bangalore,2015,18955,Petrol,Automatic,First,18,1497,117.3,5,16.04,10.65
Honda Jazz VX, Jazz VX,Honda,Kochi,2018,20024,Petrol,Manual,First,18.2,1199,88.7,5,9.1,8.46
Ford Figo Titanium   , Figo Titanium ,Ford,Kolkata,2015,72035,Diesel,Manual,First,25.5,1498,99,5,7.65,2.5
Hyundai Creta 1.6 SX, Creta 1.6 SX,Hyundai,Ahmedabad,2016,21000,Petrol,Manual,First,15.8,1591,121.3,5,13.74,10.9
Maruti Wagon R VXI, Wagon R VXI,Maruti,Coimbatore,2015,72599,Petrol,Manual,First,22.5,998,67.04,5,5.72,4.32
Mahindra XUV500 W9 AT, XUV500 W9 AT,Mahindra,Coimbatore,2019,19654,Diesel,Automatic,First,14,2179,155,7,21.33,17.63
Mercedes-Benz GLE 250d, Benz GLE 250d,Mercedes,Mumbai,2016,21000,Diesel,Automatic,First,17.9,2143,201.15,5,78.76,56
Honda Amaze VX   , Amaze VX ,Honda,Hyderabad,2018,12000,Diesel,Manual,First,27.4,1498,98.6,5,10.34,8.5
Maruti Alto K10 LXI, Alto K10 LXI,Maruti,Pune,2014,49000,Petrol,Manual,First,24.07,998,67.1,5,4.29,2.3
Volkswagen Ameo 1.5 TDI High , Ameo 1.5 TDI High ,Volkswagen,Mumbai,2017,51000,Diesel,Manual,First,21.66,1498,108.62,5,10.04,6.45
Mahindra Xylo H4, Xylo H4,Mahindra,Chennai,2016,215000,Diesel,Manual,First,14.02,2179,118.3,7,11.67,7.5
Toyota Innova Crysta 2.4 ZX MT, Innova Crysta 2.4 ZX MT,Toyota,Pune,2017,43200,Diesel,Manual,First,13.68,2393,147.8,7,25.52,18.6
Hyundai Xcent 1.2 CRDi S, Xcent 1.2 CRDi S,Hyundai,Jaipur,2018,25302,Diesel,Manual,First,25.4,1186,73.97,5,8.56,5.9
Toyota Innova Crysta 2.8 ZX AT, Innova Crysta 2.8 ZX AT,Toyota,Kochi,2018,41736,Diesel,Automatic,First,11.36,2755,171.5,7,27,19.92
Renault KWID 1.0 RXT  al, KWID 1.0 RXT al,Renault,Jaipur,2017,63262,Petrol,Manual,First,21.7,999,67,5,4.78,3.25
Maruti Celerio VXI  al AMT, Celerio VXI al AMT,Maruti,Pune,2017,7500,Petrol,Automatic,First,23.1,998,67.04,5,6.14,5
Maruti Dzire VXI, Dzire VXI,Maruti,Kolkata,2011,46687,Petrol,Manual,First,22,1197,81.8,5,7.3,2.7
Datsun redi-GO T  , redi GO T ,Datsun,Bangalore,2016,20487,Petrol,Manual,First,22.7,799,53.64,5,4.37,2.66
Maruti Eeco 7   Standard, Eeco 7 Standard,Maruti,Coimbatore,2012,56661,Petrol,Manual,First,15.1,1196,73,7,4.98,3.61
Honda City i-VTEC CVT VX, City i VTEC CVT VX,Honda,Mumbai,2015,30000,Petrol,Automatic,First,18,1497,117.3,5,15.29,8.65
Jeep Compass 2.0 Limited 4X4, Compass 2.0 Limited 4X4,Jeep,Mumbai,2017,52000,Diesel,Manual,First,16.3,1956,170,5,24.26,20
Land Rover Range Rover Evoque 2.0 TD4 HSE Dynamic, Evoque 2.0 TD4 HSE Dynamic,Land,Kochi,2018,31427,Diesel,Automatic,First,15.68,1999,177,5,75.12,59.72
Maruti Baleno Alpha   , Baleno Alpha ,Maruti,Kolkata,2016,29000,Diesel,Manual,First,27.39,1248,74,5,9.53,6.5
Mitsubishi Pajero Sport 4X4, Pajero Sport 4X4,Mitsubishi,Bangalore,2013,132000,Diesel,Manual,First,13.5,2477,175.56,7,34.6,12.49
Toyota Innova Crysta 2.4 ZX MT, Innova Crysta 2.4 ZX MT,Toyota,Coimbatore,2018,92056,Diesel,Manual,First,13.68,2393,147.8,7,26.45,18.39
Honda Jazz VX   , Jazz VX ,Honda,Mumbai,2016,38000,Diesel,Manual,First,27.3,1498,98.6,5,11.15,6.21
Mercedes-Benz C-Class Progressive C 220d, Benz C Class Progressive C 220d,Mercedes,Mumbai,2018,8682,Diesel,Automatic,First,0,1950,194,5,52.26,39.5
BMW 5 Series 520d  , 5 Series 520d ,BMW,Mumbai,2012,61240,Diesel,Automatic,First,22.48,1995,190,5,70.43,17.5
Renault KWID RXT  al, KWID RXT al,Renault,Hyderabad,2018,1900,Petrol,Manual,First,25.17,799,53.3,5,4.8,4.45
Ford Ecosport Signature Edition   , Ecosport Signature Edition ,Ford,Coimbatore,2019,23154,Diesel,Manual,First,23,1498,98.96,5,12.12,11.65
Toyota Innova Crysta 2.4 GX MT, Innova Crysta 2.4 GX MT,Toyota,Chennai,2017,67489,Diesel,Manual,First,13.68,2393,147.8,7,19.37,16.5
Volkswagen Vento 1.5 TDI   , Vento 1.5 TDI ,Volkswagen,Coimbatore,2014,56658,Diesel,Manual,First,20.64,1498,108.5,5,12.14,5.39
Toyota Fortuner 2.8 4WD MT, Fortuner 2.8 4WD MT,Toyota,Kochi,2013,105072,Diesel,Manual,First,14.24,2755,174.5,7,36.69,13.28
Jeep Compass 1.4 Limited  , Compass 1.4 Limited ,Jeep,Mumbai,2017,4000,Petrol,Automatic,First,16,1368,160,5,23.68,17.75
Audi A4 35 TDI Technology, A4 35 TDI Technology,Audi,Hyderabad,2015,45000,Diesel,Automatic,First,18.25,1968,187.74,5,55.61,25
Ford EcoSport 1.5   Titanium Plus AT, EcoSport 1.5 Titanium Plus AT,Ford,Coimbatore,2018,18385,Petrol,Automatic,First,14.8,1497,121.36,5,14.1,12.41
Maruti S-Cross Zeta DDiS 200 SH, S Cross Zeta DDiS 200 SH,Maruti,Coimbatore,2016,74611,Diesel,Manual,First,25.1,1248,88.5,5,13.26,7.94
Toyota Innova Crysta 2.8 ZX AT, Innova Crysta 2.8 ZX AT,Toyota,Bangalore,2016,108000,Diesel,Automatic,First,11.36,2755,171.5,7,28.05,20.5
Maruti Ertiga VDI, Ertiga VDI,Maruti,Pune,2016,130000,Diesel,Manual,First,25.47,1248,88.5,7,11.27,7
Maruti Vitara Brezza ZDi Plus, Vitara Brezza ZDi Plus,Maruti,Kochi,2019,34688,Diesel,Manual,First,24.3,1248,88.5,5,11.2,10.49
Tata Zest Revotron 1.2 XT, Zest Revotron 1.2 XT,Tata,Mumbai,2014,40000,Petrol,Manual,First,17.57,1193,88.7,5,8.56,3.95
Maruti Vitara Brezza VDi, Vitara Brezza VDi,Maruti,Kolkata,2017,35000,Diesel,Manual,First,24.3,1248,88.5,5,9.46,6.5
Mahindra XUV300 W8   , XUV300 W8 ,Mahindra,Chennai,2012,97000,Diesel,Manual,First,20,1497,115,5,12.79,7.25
Hyundai Verna CRDi 1.6 SX  , Verna CRDi 1.6 SX ,Hyundai,Kochi,2014,89614,Diesel,Manual,First,22,1582,126.2,5,15.57,6.01
Tata Hexa XT, Hexa XT,Tata,Delhi,2017,55000,Diesel,Manual,First,17.6,2179,153.86,7,19.86,12
Tata Tiago 1.2 Revotron XZ, Tiago 1.2 Revotron XZ,Tata,Coimbatore,2018,9565,Petrol,Manual,First,23.84,1199,84,5,6.59,5.88
Mercedes-Benz E-Class E 220 d, Benz E Class E 220 d,Mercedes,Kochi,2018,20446,Petrol,Automatic,First,12.6,1950,191.34,5,86.97,51.35
Mini Cooper 5 DOOR D, 5 DOOR D,Mini,Ahmedabad,2014,34000,Diesel,Automatic,First,20.7,1496,113.98,5,42.12,22
Hyundai Grand i10 1.2 Kappa Magna, Grand i10 1.2 Kappa Magna,Hyundai,Delhi,2017,8471,Petrol,Manual,First,18.9,1197,81.86,5,6.54,5
Toyota Innova Crysta 2.8 ZX AT, Innova Crysta 2.8 ZX AT,Toyota,Hyderabad,2016,69000,Diesel,Automatic,First,11.36,2755,171.5,7,26.56,19.75
Renault Duster 110PS    RxZ AMT, Duster 110PS RxZ AMT,Renault,Coimbatore,2017,30090,Diesel,Automatic,First,19.6,1461,108.45,5,15.05,11.44
Mahindra Bolero ZLX, Bolero ZLX,Mahindra,Mumbai,2016,40448,Diesel,Manual,First,15.96,2523,62.1,7,11.01,3.5
Maruti Vitara Brezza ZDi, Vitara Brezza ZDi,Maruti,Coimbatore,2018,64456,Diesel,Manual,First,24.3,1248,88.5,5,11,10.46
Honda Amaze S  , Amaze S ,Honda,Kochi,2016,51672,Petrol,Manual,First,19.5,1199,88.76,5,7.55,5.68
