Name,Model Name,Brand,Location,Year,Kilometers_Driven,Fuel_Type,Transmission,Owner_Type,Mileage,Engine,Power,Seats,New_Price,Price
Hyundai Grand i10 1.2 Kappa Asta, Grand i10 1.2 Kappa Asta,Hyundai,Hyderabad,2017,20000,Petrol,Manual,First,18.9,1197,81.86,5,7.82,5.98
Hyundai Grand i10 1.2 Kappa Magna, Grand i10 1.2 Kappa Magna,Hyundai,Kochi,2018,50234,Petrol,Manual,First,18.9,1197,81.86,5,6.32,4.77
Hyundai Verna VTVT 1.6 AT SX  , Verna VTVT 1.6 AT SX ,Hyundai,Mumbai,2015,40600,Petrol,Automatic,First,17,1591,121.3,5,15.14,7.2
Hyundai Verna CRDi 1.6 AT SX  , Verna CRDi 1.6 AT SX ,Hyundai,Ahmedabad,2013,87000,Diesel,Automatic,First,22,1582,126.2,5,15.72,5.9
Volvo S60 D4 Momentum, S60 D4 Momentum,Volvo,Hyderabad,2015,51000,Diesel,Automatic,First,27.03,1969,190,5,45.67,25
BMW 3 Series 320d  , 3 Series 320d ,BMW,Chennai,2012,65000,Diesel,Automatic,First,22.69,1995,190,5,54.7,14
Toyota Innova Crysta 2.4 VX MT, Innova Crysta 2.4 VX MT,Toyota,Hyderabad,2017,24393,Diesel,Manual,First,13.68,2393,147.8,7,22.87,20.4
Volkswagen Polo 1.0 MPI Trend , Polo 1.0 MPI Trend ,Volkswagen,Hyderabad,2019,1000,Petrol,Manual,First,18.78,999,75,5,6.74,5.68
Mitsubishi Pajero Sport 4X4, Pajero Sport 4X4,Mitsubishi,Mumbai,2013,59000,Diesel,Manual,First,13.5,2477,175.56,7,33.09,12.75
Toyota Corolla Altis 1.8 VL CVT, Corolla Altis 1.8 VL CVT,Toyota,Delhi,2017,21000,Petrol,Automatic,First,14.28,1798,138.03,5,23.25,18
Toyota Corolla Altis 1.4 DG, Corolla Altis 1.4 DG,Toyota,Ahmedabad,2012,52000,Diesel,Manual,First,21.43,1364,86.79,5,19.27,6.5
Jaguar XE 2.0L    Prestige, XE 2.0L Prestige,Jaguar,Delhi,2018,1000,Diesel,Automatic,First,13.6,1999,177,5,52.77,40
Mahindra Xylo D4, Xylo D4,Mahindra,Chennai,2016,85000,Diesel,Manual,First,14.95,2489,93.7,7,11.67,6.15
Maruti Swift VDI, Swift VDI,Maruti,Kochi,2017,34613,Diesel,Manual,First,28.4,1248,74,5,7.92,6.24
Hyundai Xcent 1.2 VTVT S, Xcent 1.2 VTVT S,Hyundai,Bangalore,2014,54000,Petrol,Manual,First,20.14,1197,81.86,5,7.85,5.5
Honda City i-VTEC CVT VX, City i VTEC CVT VX,Honda,Kochi,2018,22974,Petrol,Automatic,First,18,1497,117.3,5,15.55,11.97
Toyota Fortuner 2.8 2WD MT, Fortuner 2.8 2WD MT,Toyota,Ahmedabad,2015,65012,Diesel,Manual,First,14.24,2755,174.5,7,32.45,18.9
Maruti Eeco 7   Standard, Eeco 7 Standard,Maruti,Hyderabad,2015,90413,Petrol,Manual,First,15.1,1196,73,7,4.83,2.95
Maruti Swift LDI, Swift LDI,Maruti,Mumbai,2015,14000,Diesel,Manual,First,28.4,1248,74,5,7.13,5.25
BMW 5 Series 520d  , 5 Series 520d ,BMW,Coimbatore,2012,44450,Diesel,Automatic,First,22.48,1995,190,5,71.82,24.68
BMW X1 M Sport sDrive 20d, X1 M Sport sDrive 20d,BMW,Mumbai,2016,31000,Diesel,Automatic,First,17.05,1995,190,5,50.97,29.5
Hyundai Verna CRDi 1.4 E, Verna CRDi 1.4 E,Hyundai,Chennai,2008,121097,Diesel,Manual,Second,24,1396,88.76,5,10.73,1.9
Fiat  a Classic Plus 1.3 Multijet, a Classic Plus 1.3 Multijet,Fiat,Jaipur,2013,86000,Diesel,Manual,Second,19.5,1248,75,5,9.5,2.5
BMW 3 Series 320d  , 3 Series 320d ,BMW,Kochi,2013,37613,Diesel,Automatic,First,22.69,1995,190,5,52.46,13.95
Maruti Ignis 1.2 Delta, Ignis 1.2 Delta,Maruti,Coimbatore,2019,16862,Petrol,Manual,First,20.89,1197,81.8,5,6.07,6.06
Maruti Wagon R CNG LXI, Wagon R CNG LXI,Maruti,Pune,2013,79494,CNG,Manual,First,33.54,998,67.04,5,5.54,2.96
Audi Q7 45 TDI  , Q7 45 TDI ,Audi,Mumbai,2016,20002,Diesel,Automatic,First,14.75,2967,245,7,104,67
Maruti Alto K10 VXI, Alto K10 VXI,Maruti,Kolkata,2018,2100,Petrol,Manual,First,24.07,998,67.1,5,4.33,3.6
Hyundai Grand i10 1.2 Kappa Sportz AT, Grand i10 1.2 Kappa Sportz AT,Hyundai,Coimbatore,2018,20667,Petrol,Automatic,First,18.9,1197,81.86,5,8.63,7.55
Hyundai Grand i10 1.2 Kappa Sportz, Grand i10 1.2 Kappa Sportz,Hyundai,Kochi,2019,18453,Petrol,Manual,First,18.9,1197,81.86,5,6.68,6.17
Hyundai Verna CRDi 1.6 SX, Verna CRDi 1.6 SX,Hyundai,Hyderabad,2008,96578,Diesel,Manual,First,22,1582,126.2,5,14.07,2.5
Renault Duster 110PS    RxZ AMT, Duster 110PS RxZ AMT,Renault,Bangalore,2016,45000,Diesel,Automatic,First,19.6,1461,108.45,5,15.05,11.5
Hyundai Grand i10 1.2 Kappa Magna AT, Grand i10 1.2 Kappa Magna AT,Hyundai,Bangalore,2018,3000,Petrol,Automatic,First,18.9,1197,81.86,5,7.98,6.2
Toyota Innova Crysta 2.8 ZX AT, Innova Crysta 2.8 ZX AT,Toyota,Kolkata,2016,66618,Diesel,Automatic,First,11.36,2755,171.5,7,24.82,15.49
Tata Zest Revotron 1.2T XM, Zest Revotron 1.2T XM,Tata,Mumbai,2016,43706,Petrol,Manual,First,17.57,1193,88.7,5,7.63,4
Toyota Innova Crysta 2.4 VX MT, Innova Crysta 2.4 VX MT,Toyota,Kochi,2018,8899,Diesel,Manual,First,13.68,2393,147.8,7,22.86,19.92
Ford EcoSport 1.5   Titanium, EcoSport 1.5 Titanium,Ford,Pune,2018,17000,Petrol,Manual,First,17,1497,121.36,5,11.06,9.2
Maruti Alto K10 VXI, Alto K10 VXI,Maruti,Hyderabad,2016,10000,Petrol,Manual,First,24.07,998,67.1,5,4.53,3.5
Toyota Corolla Altis 1.8 G, Corolla Altis 1.8 G,Toyota,Mumbai,2010,93000,Petrol,Manual,First,14.28,1798,138.03,5,19.39,4.5
Hyundai Elantra 2.0 SX   AT, Elantra 2.0 SX AT,Hyundai,Delhi,2017,9500,Petrol,Automatic,First,14.62,1999,149.92,5,21.77,16.35
Hyundai Creta 1.6 SX Automatic   , Creta 1.6 SX Automatic ,Hyundai,Chennai,2016,55000,Diesel,Automatic,First,17.6,1582,126.2,5,18.35,12.5
Volkswagen Ameo 1.5 TDI   , Ameo 1.5 TDI ,Volkswagen,Jaipur,2016,58095,Diesel,Manual,First,21.66,1498,108.62,5,9.19,5.8
Tata Zest Revotron 1.2 XT, Zest Revotron 1.2 XT,Tata,Kolkata,2015,7445,Petrol,Manual,First,17.57,1193,88.7,5,8.09,5
Toyota Corolla Altis 1.8 VL CVT, Corolla Altis 1.8 VL CVT,Toyota,Kochi,2018,28321,Petrol,Automatic,First,14.28,1798,138.03,5,23.25,17.49
Land Rover Range Rover Sport SE, Sport SE,Land,Kochi,2019,26013,Diesel,Automatic,First,12.65,2993,255,5,139,97.07
Maruti Dzire AMT ZDI Plus, Dzire AMT ZDI Plus,Maruti,Hyderabad,2017,28226,Diesel,Automatic,First,28.4,1248,73.75,5,11.52,9.15
Ford EcoSport 1.5    Titanium Plus, EcoSport 1.5 Titanium Plus,Ford,Chennai,2016,29200,Diesel,Manual,First,23,1498,98.96,5,13.23,7.7
Tata Zest Quadrajet 1.3 XT, Zest Quadrajet 1.3 XT,Tata,Coimbatore,2018,38310,Diesel,Manual,First,20.65,1248,88.7,5,10.06,6.69
Skoda Rapid 1.5 TDI AT Style, Rapid 1.5 TDI AT Style,Skoda,Kolkata,2017,31300,Diesel,Automatic,First,21.72,1498,108.4,5,15.34,10.5
Toyota Innova Crysta 2.4 VX MT 8S, Innova Crysta 2.4 VX MT 8S,Toyota,Coimbatore,2019,11241,Diesel,Manual,First,13.68,2393,147.8,8,24.01,22.55
Mahindra Thar CRDe, Thar CRDe,Mahindra,Jaipur,2016,19000,Diesel,Manual,First,16.55,2498,105,6,11.39,9.25
Ford Aspire Titanium   , Aspire Titanium ,Ford,Coimbatore,2017,30279,Diesel,Manual,First,26.1,1498,99,5,9.79,7.29
Mini Cooper 3 DOOR D, 3 DOOR D,Mini,Mumbai,2016,20000,Diesel,Automatic,First,20.7,1496,113.98,4,35,23.5
Mahindra Verito 1.5 D4 BSIV, Verito 1.5 D4 BSIV,Mahindra,Pune,2015,90000,Diesel,Manual,Second,21.03,1461,65,5,9.26,3.1
Volkswagen Ameo 1.2 MPI High , Ameo 1.2 MPI High ,Volkswagen,Coimbatore,2017,22389,Petrol,Manual,First,17,1198,73.75,5,8.68,7.23
Land Rover Discovery Sport TD4 HSE 7S, Discovery Sport TD4 HSE 7S,Land,Mumbai,2017,40000,Diesel,Automatic,First,12.81,1999,148.31,7,66.39,41.5
Volkswagen Tiguan 2.0 TDI High , Tiguan 2.0 TDI High ,Volkswagen,Jaipur,2017,50510,Diesel,Automatic,First,17.06,1968,141,5,36.45,24.9
Audi Q7 45 TDI Quattro Premium Plus, Q7 45 TDI Quattro Premium Plus,Audi,Kochi,2019,6773,Diesel,Automatic,First,14.75,2967,245,7,91.38,72.94
Mahindra Bolero ZLX, Bolero ZLX,Mahindra,Jaipur,2013,63000,Diesel,Manual,First,15.96,2523,62.1,7,11.15,5.5
BMW X1 M Sport sDrive 20d, X1 M Sport sDrive 20d,BMW,Kochi,2017,32838,Diesel,Automatic,First,17.05,1995,190,5,50.97,30.29
Jaguar XE 2.0L    Prestige, XE 2.0L Prestige,Jaguar,Hyderabad,2017,4000,Diesel,Automatic,First,13.6,1999,177,5,53.41,38
Maruti Wagon R LXI, Wagon R LXI,Maruti,Delhi,2012,45631,Petrol,Manual,Second,22.5,998,67.04,5,4.59,2.74
Hyundai Grand i10 1.2 Kappa Magna, Grand i10 1.2 Kappa Magna,Hyundai,Delhi,2017,12248,Petrol,Manual,First,18.9,1197,81.86,5,6.54,4.9
Maruti Alto K10 VXI, Alto K10 VXI,Maruti,Coimbatore,2011,48624,Petrol,Manual,First,24.07,998,67.1,5,4.7,3.22
BMW 5 Series 520d  , 5 Series 520d ,BMW,Kochi,2018,32586,Diesel,Automatic,First,22.48,1995,190,5,67.87,37.3
Mercedes-Benz GLE 350d, Benz GLE 350d,Mercedes,Coimbatore,2018,40129,Diesel,Automatic,First,11.57,2987,254.79,5,95.13,70.8
Hyundai Grand i10 1.2 Kappa Sportz, Grand i10 1.2 Kappa Sportz,Hyundai,Kochi,2018,10393,Petrol,Manual,First,18.9,1197,81.86,5,6.62,6.03
Honda Amaze V CVT  , Amaze V CVT ,Honda,Pune,2018,1700,Petrol,Automatic,First,19,1199,88.76,5,9.44,7.8
Audi Q3 35 TDI Quattro Premium Plus, Q3 35 TDI Quattro Premium Plus,Audi,Coimbatore,2016,58661,Diesel,Automatic,First,15.17,1968,181,5,48.64,28.03
Mahindra Xylo D4, Xylo D4,Mahindra,Hyderabad,2015,169000,Diesel,Manual,First,14.95,2489,93.7,7,11.69,5
Maruti Ciaz Zeta, Ciaz Zeta,Maruti,Mumbai,2017,5500,Petrol,Manual,First,21.56,1462,103.25,5,11.11,8.2
Maruti Wagon R LXI, Wagon R LXI,Maruti,Ahmedabad,2010,21002,Petrol,Manual,First,22.5,998,67.04,5,4.74,2.75
Maruti Eeco 7   Standard, Eeco 7 Standard,Maruti,Coimbatore,2017,28371,Petrol,Manual,First,15.1,1196,73,7,4.98,4.74
Renault KWID Climber 1.0 MT, KWID Climber 1.0 MT,Renault,Delhi,2017,15000,Petrol,Manual,First,21.7,999,67,5,4.98,4.25
Honda WRV i-VTEC VX, WRV i VTEC VX,Honda,Kochi,2018,15135,Petrol,Manual,First,17.5,1199,88.7,5,10.57,9.29
Maruti Wagon R VXI AMT, Wagon R VXI AMT,Maruti,Coimbatore,2017,37832,Petrol,Automatic,First,22.5,998,67,5,6.33,5.23
Hyundai Grand i10 1.2 Kappa Asta, Grand i10 1.2 Kappa Asta,Hyundai,Coimbatore,2016,43041,Petrol,Manual,First,18.9,1197,81.86,5,8.1,6.01
Hyundai Grand i10 1.2 Kappa Magna, Grand i10 1.2 Kappa Magna,Hyundai,Kolkata,2017,31184,Petrol,Manual,First,18.9,1197,81.86,5,6.4,5
Maruti Dzire AMT ZDI Plus, Dzire AMT ZDI Plus,Maruti,Pune,2017,41747,Diesel,Automatic,First,28.4,1248,73.75,5,11.26,9
Toyota Etios Liva 1.2 VX Dual Tone, Etios Liva 1.2 VX Dual Tone,Toyota,Coimbatore,2019,20877,Petrol,Manual,First,18.16,1197,78.9,5,7.59,7.27
Maruti Swift VXI, Swift VXI,Maruti,Mumbai,2016,23555,Petrol,Manual,First,22,1197,81.8,5,7,5.1
Volkswagen Polo GT TSI, Polo GT TSI,Volkswagen,Mumbai,2016,28000,Petrol,Automatic,First,17.21,1197,103.5,5,11.26,7.25
Tata Bolt Quadrajet XE, Bolt Quadrajet XE,Tata,Hyderabad,2017,40000,Diesel,Manual,First,22.95,1248,74,5,7.43,5.25
Hyundai Elantra 1.6 SX   AT, Elantra 1.6 SX AT,Hyundai,Ahmedabad,2014,49000,Diesel,Automatic,First,18.23,1582,126.2,5,22.43,8.9
Jeep Compass 2.0 Limited   Black, Compass 2.0 Limited Black,Jeep,Mumbai,2017,7000,Diesel,Manual,First,17.1,1956,170,5,24.02,17.45
Toyota Corolla Altis 1.8 GL, Corolla Altis 1.8 GL,Toyota,Kochi,2012,83184,Petrol,Manual,First,14.28,1798,138.03,5,21.69,6.22
Mercedes-Benz GLE 350d, Benz GLE 350d,Mercedes,Coimbatore,2017,33552,Diesel,Automatic,First,11.57,2987,254.79,5,95.13,64.87
Mercedes-Benz A Class A180 Sport, Benz A Class A180 Sport,Mercedes,Mumbai,2016,17000,Petrol,Automatic,First,15.5,1595,122,5,34.63,17.25
Hyundai Grand i10 1.2 Kappa Magna, Grand i10 1.2 Kappa Magna,Hyundai,Kochi,2018,46493,Petrol,Manual,First,18.9,1197,81.86,5,6.32,5.53
BMW 3 Series 320d, 3 Series 320d,BMW,Ahmedabad,2011,100000,Diesel,Automatic,Second,22.69,1995,190,5,43.31,10.9
Maruti Eeco 7   Standard, Eeco 7 Standard,Maruti,Mumbai,2014,34669,Petrol,Manual,First,15.1,1196,73,7,4.71,2.9
Toyota Innova Crysta 2.8 GX AT, Innova Crysta 2.8 GX AT,Toyota,Kochi,2019,10601,Diesel,Automatic,First,11.36,2755,171.5,7,20.74,19.65
Mercedes-Benz GLS 350d Grand Edition, Benz GLS 350d Grand Edition,Mercedes,Delhi,2018,6000,Diesel,Automatic,First,11,2987,258,7,102,79
Hyundai Grand i10 1.2 Kappa Sportz, Grand i10 1.2 Kappa Sportz,Hyundai,Delhi,2018,9434,Petrol,Manual,First,18.9,1197,81.86,5,6.71,5.75
Volkswagen Ameo 1.2 MPI High , Ameo 1.2 MPI High ,Volkswagen,Coimbatore,2018,35569,Petrol,Manual,First,17,1198,73.75,5,8.68,7.27
Toyota Fortuner 2.8 2WD AT, Fortuner 2.8 2WD AT,Toyota,Ahmedabad,2017,15000,Diesel,Automatic,First,12.9,2755,174.5,7,34.45,30
Maruti Dzire VDI, Dzire VDI,Maruti,Delhi,2016,45376,Diesel,Manual,First,28.4,1248,73.75,5,8.58,5.75
Ford EcoSport 1.5    Titanium Plus, EcoSport 1.5 Titanium Plus,Ford,Kochi,2017,78526,Diesel,Manual,First,23,1498,98.96,5,12.67,8.09
BMW X1 sDrive 20d x , X1 sDrive 20d x ,BMW,Coimbatore,2015,42265,Diesel,Automatic,Second,20.68,1995,190,5,48.18,22.24
Ford EcoSport 1.5    Titanium, EcoSport 1.5 Titanium,Ford,Mumbai,2017,26000,Diesel,Manual,First,23,1498,98.96,5,11.89,8.99
Maruti Dzire ZDI Plus, Dzire ZDI Plus,Maruti,Jaipur,2017,24000,Diesel,Manual,First,28.4,1248,73.75,5,10.48,8.2
Hyundai Verna VTVT 1.6 SX  , Verna VTVT 1.6 SX ,Hyundai,Delhi,2013,57478,Petrol,Manual,Second,17,1591,121.3,5,13.59,5.25
Maruti Vitara Brezza ZDi, Vitara Brezza ZDi,Maruti,Hyderabad,2016,41372,Diesel,Manual,First,24.3,1248,88.5,5,11.02,9.3
Mercedes-Benz GLA Class 200 d Sport, Benz GLA Class 200 d Sport,Mercedes,Pune,2017,35000,Diesel,Automatic,First,17.9,2143,136,5,41.94,23.5
Maruti Dzire VDI, Dzire VDI,Maruti,Mumbai,2012,74000,Diesel,Manual,Second,28.4,1248,73.75,5,8.94,4.25
Jeep Compass 2.0 Longitude, Compass 2.0 Longitude,Jeep,Kochi,2018,28937,Diesel,Manual,First,17.1,1956,170,5,21.38,17.02
Toyota Corolla Altis 1.4 DG, Corolla Altis 1.4 DG,Toyota,Coimbatore,2013,63854,Diesel,Manual,First,21.43,1364,86.79,5,19.27,7.12
Maruti Vitara Brezza ZDi Plus AMT Dual Tone, Vitara Brezza ZDi Plus AMT Dual Tone,Maruti,Chennai,2018,3000,Diesel,Automatic,First,24.3,1248,88.5,5,12.88,11.25
Hyundai Xcent 1.2 VTVT SX, Xcent 1.2 VTVT SX,Hyundai,Mumbai,2014,64241,Petrol,Manual,First,20.14,1197,81.86,5,8.27,3.67
BMW X1 sDrive 20d x , X1 sDrive 20d x ,BMW,Bangalore,2016,28143,Diesel,Automatic,First,20.68,1995,190,5,48.18,28.5
Toyota Innova Crysta 2.4 VX MT, Innova Crysta 2.4 VX MT,Toyota,Hyderabad,2017,67000,Diesel,Manual,First,13.68,2393,147.8,7,22.87,16.5
Hyundai Grand i10 1.2 Kappa Magna AT, Grand i10 1.2 Kappa Magna AT,Hyundai,Kochi,2018,5354,Petrol,Automatic,First,18.9,1197,81.86,5,7.37,6.76
Volkswagen Polo 1.0 MPI   , Polo 1.0 MPI ,Volkswagen,Chennai,2016,42000,Petrol,Manual,Second,18.78,999,75,5,7.33,5.5
Maruti Eeco 7   Standard, Eeco 7 Standard,Maruti,Coimbatore,2013,54885,Petrol,Manual,First,15.1,1196,73,7,4.98,3.75
Toyota Innova Crysta 2.4 VX MT, Innova Crysta 2.4 VX MT,Toyota,Mumbai,2016,25121,Diesel,Manual,First,13.68,2393,147.8,7,23.06,17.11
Mahindra Bolero SLE, Bolero SLE,Mahindra,Hyderabad,2012,75000,Diesel,Manual,First,15.96,2523,62.1,7,10.32,4.3
Maruti Ignis 1.2 Alpha, Ignis 1.2 Alpha,Maruti,Mumbai,2017,1000,Petrol,Manual,First,20.89,1197,81.8,5,7.87,6.36
BMW 7 Series 730Ld Eminence, 7 Series 730Ld Eminence,BMW,Kochi,2015,29966,Diesel,Automatic,Second,16.77,2993,261.49,5,140,43.6
Maruti Wagon R CNG LXI, Wagon R CNG LXI,Maruti,Mumbai,2013,54000,CNG,Manual,First,33.54,998,67.04,5,5.58,3.05
Jeep Compass 2.0 Longitude, Compass 2.0 Longitude,Jeep,Coimbatore,2018,33218,Diesel,Manual,First,17.1,1956,170,5,22.46,19.05
Mini Cooper 5 DOOR D, 5 DOOR D,Mini,Hyderabad,2017,2000,Diesel,Automatic,First,20.7,1496,113.98,5,42.48,34
Tata Zest Revotron 1.2T XMS, Zest Revotron 1.2T XMS,Tata,Chennai,2015,40000,Petrol,Manual,First,17.57,1193,88.7,5,7.69,4
Ford Aspire Titanium Plus  , Aspire Titanium Plus ,Ford,Kolkata,2015,2800,Diesel,Manual,First,26.1,1498,99,5,9.4,8.41
Hyundai Grand i10 1.2 Kappa Asta, Grand i10 1.2 Kappa Asta,Hyundai,Coimbatore,2016,37429,Petrol,Manual,First,18.9,1197,81.86,5,8.1,5.89
Honda City i-VTEC V, City i VTEC V,Honda,Delhi,2011,67031,Petrol,Manual,First,17.4,1497,117.3,5,11.85,4
Maruti Celerio VXI AMT, Celerio VXI AMT,Maruti,Mumbai,2016,47691,Petrol,Automatic,First,23.1,998,67.04,5,6.08,3.94
Maruti Dzire VDI, Dzire VDI,Maruti,Kolkata,2015,28193,Diesel,Manual,First,28.4,1248,73.75,5,8.36,5.25
Mercedes-Benz SLC 43 AMG, Benz SLC 43 AMG,Mercedes,Coimbatore,2019,2526,Petrol,Automatic,First,19,2996,362.07,2,106,83.96
Mercedes-Benz E-Class E 220 d, Benz E Class E 220 d,Mercedes,Hyderabad,2013,85000,Diesel,Automatic,First,16.1,1950,194,5,71.15,21
Hyundai Grand i10 1.2 Kappa Sportz, Grand i10 1.2 Kappa Sportz,Hyundai,Ahmedabad,2015,20780,Petrol,Manual,First,18.9,1197,81.86,5,6.82,4.3
Mercedes-Benz GLE 250d, Benz GLE 250d,Mercedes,Kochi,2017,25601,Diesel,Automatic,First,17.9,2143,201.15,5,78.76,56.73
Ford Freestyle Titanium  , Freestyle Titanium ,Ford,Mumbai,2007,1261,Petrol,Manual,First,19,1194,94.68,5,8.12,6
Hyundai Elite i20 Asta  , Elite i20 Asta ,Hyundai,Coimbatore,2017,59450,Petrol,Manual,First,18.6,1197,81.86,5,9.78,7.53
Maruti Baleno Delta, Baleno Delta,Maruti,Mumbai,2016,12573,Petrol,Manual,First,21.4,1197,83.1,5,7.36,5.8
Toyota Fortuner 2.8 2WD AT, Fortuner 2.8 2WD AT,Toyota,Pune,2017,29000,Diesel,Automatic,First,12.9,2755,174.5,7,38.11,31
Maruti Ertiga ZDI, Ertiga ZDI,Maruti,Delhi,2013,68000,Diesel,Manual,First,25.47,1248,88.5,7,11.75,4.85
Maruti Swift VDI, Swift VDI,Maruti,Hyderabad,2013,84000,Diesel,Manual,First,28.4,1248,74,5,8.44,5.65
Hyundai Creta 1.6 SX  , Creta 1.6 SX ,Hyundai,Delhi,2016,24347,Petrol,Manual,First,15.8,1591,121.3,5,16.06,11
Honda City i-VTEC CVT VX, City i VTEC CVT VX,Honda,Mumbai,2017,17000,Petrol,Automatic,First,18,1497,117.3,5,15.29,11.6
Honda Brio 1.2 VX MT, Brio 1.2 VX MT,Honda,Kochi,2014,41460,Petrol,Manual,First,18.5,1198,86.8,5,6.63,3.95
Land Rover Discovery HSE Luxury 3.0 TD6, Discovery HSE Luxury 3.0 TD6,Land,Mumbai,2017,35000,Diesel,Automatic,First,18,2993,255,7,127,41.6
Toyota Fortuner 2.8 4WD MT, Fortuner 2.8 4WD MT,Toyota,Bangalore,2015,150386,Diesel,Manual,First,14.24,2755,174.5,7,39.6,23
Maruti Vitara Brezza ZDi Plus, Vitara Brezza ZDi Plus,Maruti,Ahmedabad,2017,80000,Diesel,Manual,First,24.3,1248,88.5,5,10.91,8
Hyundai Tucson 2.0 Dual VTVT 2WD AT GL, Tucson 2.0 Dual VTVT 2WD AT GL,Hyundai,Mumbai,2016,13000,Petrol,Automatic,First,12.95,1999,152.88,5,25.75,17.75
Maruti Wagon R VXI, Wagon R VXI,Maruti,Kolkata,2016,16956,Petrol,Manual,First,22.5,998,67.04,5,5.29,3.6
Maruti Wagon R VXI, Wagon R VXI,Maruti,Mumbai,2010,38000,Petrol,Manual,Second,22.5,998,67.04,5,5.61,1.75
Honda Brio 1.2 VX AT, Brio 1.2 VX AT,Honda,Mumbai,2017,20000,Petrol,Automatic,First,16.5,1198,86.8,5,8.05,5.99
Toyota Etios Cross 1.4L GD, Etios Cross 1.4L GD,Toyota,Kochi,2016,36681,Diesel,Manual,First,23.59,1364,67.06,5,8.82,6.71
Honda City i-VTEC CVT ZX, City i VTEC CVT ZX,Honda,Coimbatore,2018,20300,Petrol,Automatic,First,18,1497,117.3,5,17.38,14.21
Maruti Celerio ZXI MT, Celerio ZXI MT,Maruti,Kochi,2017,21799,Petrol,Manual,First,23.1,998,67.04,5,5.69,5.11
Toyota Innova Crysta 2.8 ZX AT, Innova Crysta 2.8 ZX AT,Toyota,Hyderabad,2017,35358,Diesel,Automatic,First,11.36,2755,171.5,7,26.56,22.99
Tata Tiago 1.2 Revotron XT, Tiago 1.2 Revotron XT,Tata,Jaipur,2016,42700,Petrol,Manual,First,23.84,1199,84,5,5.61,3.6
Toyota Fortuner 2.8 4WD MT, Fortuner 2.8 4WD MT,Toyota,Hyderabad,2010,110000,Diesel,Manual,First,14.24,2755,174.5,7,37.51,13.7
Maruti Wagon R VXI 1.2, Wagon R VXI 1.2,Maruti,Mumbai,2015,55000,Petrol,Manual,First,21.5,1197,81.8,5,5.88,3.1
Honda City i-DTEC ZX, City i DTEC ZX,Honda,Hyderabad,2017,46000,Diesel,Manual,First,25.6,1498,98.6,5,16.95,12.9
BMW 5 Series 520d  , 5 Series 520d ,BMW,Ahmedabad,2012,95000,Diesel,Automatic,Second,22.48,1995,190,5,63.71,17.5
Ford EcoSport 1.5   Titanium, EcoSport 1.5 Titanium,Ford,Delhi,2017,39000,Diesel,Manual,First,23,1498,98.96,5,11.47,8.45
Toyota Fortuner 2.8 4WD MT, Fortuner 2.8 4WD MT,Toyota,Mumbai,2010,140000,Diesel,Manual,First,14.24,2755,174.5,7,37.46,10.75
Maruti Swift VDI, Swift VDI,Maruti,Kochi,2016,62192,Diesel,Manual,First,28.4,1248,74,5,7.88,5.22
